id,product_id,body,date_written,asker_name,asker_email,reported,helpful
1,1,"What fabric is the top made of?",1595884714409,"yankeelover","first.last@gmail.com",0,1
2,1,"HEY THIS IS A WEIRD QUESTION!!!!?",1613888219613,"jbilas","first.last@gmail.com",1,4
3,1,"Does this product run big or small?",1608535907083,"jbilas","first.last@gmail.com",0,8
4,1,"How long does it last?",1594341317010,"funnygirl","first.last@gmail.com",0,6
5,1,"Can I wash it?",1608855284662,"cleopatra","first.last@gmail.com",0,7
6,1,"Is it noise cancelling?",1608855284662,"coolkid","first.last@gmail.com",1,19
7,2,"Where is this product made?",1590428073460,"iluvcatz","first.last@gmail.com",0,0
8,2,"Is this product sustainable?",1608855284662,"coolkid","first.last@gmail.com",1,5
9,2,"I'm allergic to dye #17, does this product contain any?",1598026382276,"l33tgamer","first.last@gmail.com",0,6
10,2,"Why is this product cheaper here than other sites?",1618982215909,"toofast","first.last@gmail.com",0,5
11,2,"Where does this product ship from?",1608331206960,"jbilas","first.last@gmail.com",0,24
12,2,"Does this product run big or small?",1601719701422,"iluvcatz","first.last@gmail.com",0,2
13,2,"What fabric is the bottom made of?",1596386728488,"cleopatra","first.last@gmail.com",0,7
14,2,"Where is this product made?",1601273260716,"jbilas","first.last@gmail.com",0,4
15,2,"What fabric is the side made of?",1598948507460,"funnygirl","first.last@gmail.com",0,1
16,3,"How long does it last?",1596386728488,"funnygirl","first.last@gmail.com",0,0
17,3,"Does this product run big or small?",1598582805613,"coolkid","first.last@gmail.com",0,8
18,3,"Can I wash it?",1595113831034,"jbilas","first.last@gmail.com",0,5
19,3,"Why is this product cheaper here than other sites?",1590413602314,"jbilas","first.last@gmail.com",0,6
20,3,"What fabric is the front made of?",1591561204712,"internethistorian","first.last@gmail.com",0,1
21,3,"Is it noise cancelling?",1608732209572,"jbilas","first.last@gmail.com",1,4
22,3,"Is this product sustainable?",1599322748526,"cleopatra","first.last@gmail.com",0,12
23,3,"What fabric is the bottom made of?",1607644452194,"iluvcatz","first.last@gmail.com",0,6
24,3,"Where does this product ship from?",1616735709377,"toofast","first.last@gmail.com",0,17
25,3,"Where is this product made?",1605553423561,"thegrimreaker","first.last@gmail.com",0,9
26,3,"I'm allergic to dye #17, does this product contain any?",1605317722861,"rhcp81","first.last@gmail.com",0,0
